id编号,标题,点赞数量,投币数量,收藏数量,播放次数,评论1,评论2,评论3,评论4,评论5
11,十年程序员经验总结！零基础入门Python要听劝！！！,440,503,638,1.4万,"置顶
后台认准up，陌生账号不要相信，谨防上当受骗！！",求资料！,已三连，求资料,up主 ，已三连，求发 ,已三连，求意见，谢谢
12,千锋教育Python从入门到精通教程，0基础数据分析+爬虫+人工智能免费学习视频,2.3万,2.0万,8.2万,134.7万,"置顶
视频配套资料文档免费领取添加【Q群：260340209】 ，开启千锋交流学习的旅途~
更多学习资料领取攻略：https://gaoneng.bilibili.com/tetris/page/?pageId=730836441169981440&is_preview=1&event_source_type=4&mid=18729798&buvid=13F83FD1-5C4D-5FDD-5528-36EB31FCAE0081846infoc
锋迷学前必读：千锋在线学员常见B站问题答疑_视频资料获取方法

推荐视频：

python基础：千锋教育Python零基础全套视频教程，python入门自学必备极速版
一套搞定：千锋教育宋宋老师Python数据分析教程_700集零基础Python入门到精通教程（python爬虫+自动化办公+人工智能）
办公自动化：千锋宋如宁最新Python办公自动化教程丨教你5分钟轻松搞定1天的工作
Python爬虫：千锋教育Python爬虫视频教程，Python基础+网络爬虫实战案例教程
Python速成：Python零基础教程快速上手_全程干货+实用技巧小白必看
数据库可视化：千锋教育数据分析与数据可视化教程，从小白到数据分析师自学全套视频
Flask：【千锋】零基础玩转Python_Flask（flask快速上手）
NumPy:千锋教育NumPy教程，保姆级基础入门Python数据分析
Pandas:千锋教育Pandas数据分析从入门到实战，零基础小白保姆级Python数据分析教程
PyEcharts:千锋教育PyEcharts数据可视化快速入门教程，大数据分析Python交互绘图实用利器
scrapy:千锋Python基础scrapy爬虫框架超强教学_入门+实战+项目_小白速成必备
项目：千锋团队项目：全套python项目开发实战教程",今年二十三岁，已收藏，准备给我儿子看,评论好多其它机构发一些资源邀请进群的都是骗子，切勿上当,做一个疯狂学习资料而不疯狂收集资料的人,p206-p213没声音？？！！
13,Python学习 | Python无纸化学习yyds！！,142,147,128,4010,学习需要,需要学姐～,学习 求求🥺,三联了，up分享一下,求资料！！
14,Python深度学习：Python基础,1268,1410,1671,4.0万,"置顶
【讲义下载】
链接：https://pan.baidu.com/s/1Xnhv-NSmtggYqKlg3uAlMg
提取码：6666

【交流群，1v1带学】
关注【布尔艺数】公众号回复UP代号“杰哥”即可。","我都在Google
Python怎么用for循环，Python怎么定义变量....",我想询问下，up主，第二节课所讲的 包 ，我们在第一节课已经安装好了嘛？,一看到杰哥更新，我啪的一下点进来了，很快啊,杰哥咱们课程完结了吗
15,Python零基础从菜鸟到高手【2023最Python新完整版】从计算机原理到Python项目，大海老师Python最新教程（Python零基础入门教程）,914,508,1890,3.0万,"置顶
直接去拿【大海老师】课件资料+代码笔记+编程工具👉https://gaoneng.bilibili.com/tetris/page/?pageId=775847679985385472👈领取，允许礼貌白嫖！
想看更多可以在下面告诉UP，担心排不上可以直接找助教老师学习了解+技术路线+接单派单同样都OK","后，直接去拿配套Python课件资料+工具👉https://www.bilibili.com/opus/799547044746231829👈
视频上传已经过@图灵Python教育 大海老师授权！老师是专业教Python的编程老师，有正式直播，也需要辅导学生；这是在不耽误主要工作情况下，利用碎片时间制作出来的~创作不易，且学且珍惜！",老师我从应用商店下载的有什么区别,"老师为啥我配置的python interpreter显示是unsupported,然后在打代码的时候会出现说安装的python has reached its end-of-life and no longer support the Pycharm。我安装的是python是和老师一样的版本，但是pycharm我没有找到2018.1.3，所以下的1.4",老师你视频还有更新吗？
16,半个月爆肝，Python学习最强指南：学习方法、路径图、资料都备齐了！,6438,4839,1.2万,11.6万,"置顶
自己的课代表
1、为什么学习python 00:43
2、python学习路径图和python备忘手册（如何学习python） 02:20
3、学习资源的获取 04:23
4、书籍推荐 05:12",我多说一句，up主的意思是希望每个人都可以轻松的学到python的知识。但是如果有好兄弟有意向做程序员的话，不建议把python当做主语言来学习。它强是强在有非常丰富的第三方库，直接调用就能使。当做第二语言来提升效率是最好的。,"又刷了一遍，加三连。
趁现在人少请教个问题，自学Python加一点爬虫(能扒数据做量化分析的程度吧），然后理想是掌握机器学习，学完这些要多久，再加上深度学习呢？以下是目前个人情况，开始奔三的人初中水平，数学中上但也是荒废了，只能说留点底子，英语完全不行，如果可以希望以后得学习只是背背单词的水平。已经学习近一个月的基础，大概是到了面向对象基础知识那块，能跟上课程。日均学习时间从刚开始的3个小时到现在的7个小时，还在追求极限，目标暂定12小时吧。自认为学习效率一般吧，之后也会慢慢提升。题外话：因工伤辞职在家半个月后到B站大学报道，有学到毕业的想法。",学校信息课老师教python通病：表达能力巨差   好不容易理解之后就会觉得老师是**简单的东西说的超级复杂,听说日本已经把python当作小学教材了，是不是真的？
17,Python 21天快速入门 0基础小白入门到轻松编写小程序,879,472,1388,2.4万,"置顶
需要课件及资料加我：python2239 领取。

即使之前你从未写过1行代码

也能在学完本课程后, 达到Python爬虫入门水平

能开发300-500行代码的小程序，掌握基本的编程思维

无论你日后想做人工智能、数据分析，还是WEB开发、进阶爬虫、大数据等，都应该先把这部分基础掌握。 ",大佬 已三连支持！请问有没有笔记和代码资料呢?,入门我喜欢,我也是小白来学习一下,哈哈 ，又是一个收藏比点赞多的👍
18,【PyQt5教程】PyQt5基础系列课程（适合基础入门）,864,681,3667,8.9万,"置顶
相关资料已上传至github，在qt5分类下查找即可https://github.com/hemuAiopen/pythonclass",$FileName$ -o $fileNameWithoutExtension$.py $FileDir$,designer.exe最新目录在\venv\Lib\site-packages\qt5_applications\Qt\bin下,"讲道理,这个是目前PyQt5看到最实用的, 其他教程就是跟字典一样,没啥可以借鉴的",敲键盘的声音太大了，调低电脑音量就听不到讲课，调大音量，键盘声音又震耳朵，哭了啊
19,黑马程序员机器学习入门，系统学习快速掌握python人工智能,1864,1437,8475,14.6万,"置顶
全套配套资料教程，关注微信公众号：黑马程序员，回复：领取资源02
即可自动领取全套教程点赞，转发+收藏，关注黑马不迷茫

python热门爆款
零基础入门：黑马程序员Python小白基础入门教程 Python入门到精通教程
零基础必备：黑马程序员全套Python教程_Python基础入门视频教程，零基础小白自学Python入门教程

python基础进阶：黑马程序员Python深入浅出进阶教程【敢信？】收藏=点赞十倍
Python实战Djongo项目：黑马程序员python企业级开发项目-手把手从0到1开发《美多商城》
mysql数据库：黑马程序员MySQL全套教程，MySQL从基础到黑马订单案例实战
机器学习算法：黑马程序员3天快速入门python机器学习   黑马程序员机器学习入门，系统学习快速掌握python人工智能
聚类算法：360°解读机器学习经典算法——聚类算法
数据挖掘：黑马程序员Python教程，4天快速入门Python数据挖掘，系统精讲+实战案例
Web服务器：黑马程序员Python高级语法进阶教程_python多任务及网络编程，从零搭建网站全套教程
180分钟爬虫入门：黑马程序员180分钟轻松获取疫情数据，Python爬虫入门课
Scrapy框架：黑马程序员Python爬虫基础，快速入门Scrapy爬虫框架
多线程：黑马程序员python多线程编程

人工智能入门：智能机器人软件开发教程基础，从helloworld到神经网络
人工智能深度学习：智能机器人软件开发教程基础，从helloworld到神经网络
图像与视觉处理：人工智能教程|零基础学习计算机视觉快速入门

教程学习可能遇到的问题答疑（非技术型）：黑马程序员学习常见问题答疑","这里是课件链接链接，已上传百度网盘，自取：https://pan.baidu.com/s/1GIQAX0VmDYpAt_K4Zky2Ig 
提取码：55xv",魔鬼Up主，什么都教,"下载kaggle数据集的分享：
使用pip安装kaggle。
首先进入kaggle官网。
登录谷歌账号（为了不注册kaggle账户，同时需要谷歌访问助手辅助登录）
登录成功后进入自己的账户，创建新API令牌。
将下载的json文件放入刚才的kaggle文件夹中。
接下来可以通过迅雷下载数据集了","学完了来说几句：
老师整体讲的是不错的 毕竟是免费教程 但是不像其他系列的老师讲的基础 细！！！很多需要注意的很基础的点没有讲以至于本人在学习过程中造成很多疑惑 希望大家也都可以上网自学解决！！！实践是检验真理的唯一标准！！！！！！！！！"
20,动画讲编程，官方python学习视频，《看动画，学python，零基础入门》，大厂工程师开发,547,333,2919,3.5万,"p5:
score1=int(input(""请输入第一门成绩""))
score2=int(input(""请输入第二门成绩""))
score3=int(input(""请输入第三门成绩""))
score=(score1>90)*2+(score1<90+score1>60-1)*1+(score2>90)*2+(score2<90+score2>60-1)*1+(score3>90)*2+(score3<90+score3>60-1)*1
print(""您的成绩积分为%d""%(score))","P1：
print(""*****"")
print(""*****"")
print(""*****"")
print(""*****"")
print(""*****"")
更简便的写法：
for i in range (5):
    print(""*****"")",你们家这视频 被人家盗了好几回了 都上热门了 ,"在不考虑换行的情况下P2还可以这么写：
glass1=input(""请输入杯子1中的饮料："")
glass2=input(""请输入杯子2中的饮料："")

print(""交换前杯子1和杯子2中的饮料为："",glass1,glass2)

glass1,glass2=glass2,glass1

print(""交换后杯子1和杯子2中的饮料为："",glass1,glass2)","a = int(input(""请输入第一门成绩：""))
b = int(input(""请输入第二门成绩：""))
c = int(input(""请输入第三门成绩：""))
score1 = (a > 90) * 2 + (60 < a < 90) * 1
score2 = (b > 90) * 2 + (60 < b < 90) * 1
score3 = (c > 90) * 2 + (60 < c < 90) * 1
score = score1 + score2 + score3
print(""得分为：%d "" % score)"
21,中国科学院大学一周讲完的Python教程，整整800集，全程干货无废话，学完即可上岗《零基础入门学习python》,8920,7378,3.0万,32.0万,"置顶
领取全套Python视频资料的兄弟们，请支持一个一键三连➕关注，后台随便打个字，机器人会发你的（注：一定要后台打个招呼哦❗️）
请认准up主只有这一个号发大家❗其他号都不是up主，以免上当受骗！",已三连,已三连,您好uu们，这个课程有对应的书本吗？我看蟒蛇那本可以对应的上吗,三连了，下学期要学收藏了下学期学不懂就来看看
22,【10年编程经验总结】适合0基础小白200集入门到精通学完做可项目,730,255,983,9935,"置顶
我新上的课程强烈推荐大家点击蓝色链接看下，Python/Go/Java/Linux人工智能数据分析前端测试网络安全学习包 课程包含Python、GO语言、Java、Linux云计算、人工智能、机器学习、深度学习、自然语言处理、Opencv视觉图像处理、爬虫JS逆向、数据分析、金融量化等课程的，目前课时已超过1000+小时，后续将会持续更新，需要的小伙伴冲冲冲！！！   ","此教程合适完全0基础的朋友学习，即使之前你从未写过1行代码，也能在学完本课程后，也可达到用Python开发上千行代码小程序的水平。

       无论你日后想做AI、数据分析，还是WEB开发、爬虫、大数据等，都应该先把这部分基础课程掌握。
        
        后面课程还在不断更新中，给点个关注更新时会发布动态，让你随时了解你关注的课程哦！

        视频还有配套代码课件（课程中包含的小案例、源码、作业答案、笔记）免费分享给大家！

只要求给个三连给个关注，课件加V： pybc1024领取哦~",很好的教程，Day1打卡,Python 下载更新了还是怎么了,可以～
23,【B站首推】100道Python学习必练的练习题，零基础小白也能信手拈来，每日一练，暑假实现弯道超车！,1745,786,5344,3.6万,"置顶
领取视频内容练习题的同学请➕V：【Uzi9988W】备注：练习题，先到先得哦！
请认准up主只有这一个号发大家❗其他号都不是up主，以免上当受骗",已三连,三连了,已三连，求练习题,三连了 求练习题!!
24,学姐已上岸！100本Python电子书和全套学习笔记删了可惜，无偿宋给大家~小阳人不骗小阳人,233,366,168,2341,"置顶
100本Python电子书和学习笔记等全套资料已经准备好了，需要的小伙伴请随个+留言“6” 领取哦先到先发，有惊喜哦",print(6),666666,"while ture：
     print（6）",6666
25,清华大佬81小时讲完的Python，整整300集，零基础入门，小白福利，手把手教，无私分享，学完即可就业！！！,4808,994,1.5万,9.1万,"置顶
获取课件资料+python安装包  请点击私信按钮✉️， 发送关键词“学习”，就可以了，有惊喜，先到先发",收藏从未停止，学习从未开始,加油，期待你越做越好。,只有100集,干货视频，质量好，看看来UP是用心啦
26,【千万要听劝】整整300集！让你在一周内学会Python编程，全程干货细致讲解，零基础小白也能信手拈来！,36,10,36,1059,求注册码,已三连，求电子版资料,0,0,0
27,【Python教程】《零基础入门学习Python》,4.5万,5.2万,12.0万,324.2万,"置顶
本系列视频配套教材：
零基础入门学习Python 小甲鱼 python编程从入门到精通实践 pathon语言程序设计实战基础教程全套 计算机电脑编程入门自学书籍","基础系列
【完结】：【Python教程】《零基础入门学习Python》
【最新】：【Python教程】《零基础入门学习Python》最新版（完结撒花🎉）
进阶系列
【机器视觉】：【OpenCV篇】《通过案例学习图像处理及计算机视觉开发》（小甲鱼）
【绘图】：【绘图篇】《极客Python之效率革命》
【爬虫】：【爬虫篇】《极客Python之效率革命》
【办公】：【办公篇】《极客Python之效率革命》
小甲鱼：扎实打下基本功之后，大家可以继续学习下面的极客系列教程哦",好惨，搬运的比正版的播放量还高(´･_･`),"一个技巧:
在英文输入状态下 如果没有锁定大写输入,按下键盘输入的是小写,如果按着Shift再按字母键就是大写 注意此时没有按下大写锁定
相应的,大写输入状态下按住Shift可以输入小写
这个技巧对Python来说很方便 虽然大家可能知道","强烈安利，师妹小讲堂：用算法解决日常问题【Zero to Hero】算法小讲堂👍
实战，你敢来挑战吗？！"
